Task;Time all;Speed all;Time 000m (A);Time 150m (B);Time 1.leg;Speed 1.leg;deadtime;dead distance;Time 300m (A);Time 2.leg;Speed 2.leg;deadtime;dead distance;Time 450m (B);Time 3.leg;Speed 3.leg;deadtime;dead distance;Time 600m (A);Time 4.leg;Speed 4.leg
;min:sec.msec;km/h;min:sec.msec;min:sec.msec;sec.msec;km/h;sec.msec;meter;min:sec.msec;sec.msec;km/h;sec.msec;meter;min:sec.msec;sec.msec;km/h;sec.msec;meter;min:sec.msec;sec.msec;km/h;
F3BSpeed;00:22.99;93.95;00:00.00;00:04.17;04.17;129;01.95;70;00:11.48;07.31;73;00.75;15;00:17.60;06.11;88;00.98;24;00:22.99;05.38;100;
F3BSpeed;00:04.82;447.58;00:00.00;00:01.72;01.72s;313;00.00;0;00:02.82;01.10s;489;00.00;0;00:03.62;00.79s;677;00.00;0;00:04.82;01.20s;448;
F3BSpeed;00:18.07;119.53;00:00.00;00:04.10;04.10;131;02.70;98;00:09.66;05.56;97;01.63;44;00:12.80;03.14;171;01.78;85;00:18.07;05.26;102;
F3BSpeed;00:27.73;77.87;00:00.00;00:04.20;04.20;128;01.99;71;00:14.26;10.05;53;02.57;38;00:22.45;08.19;65;02.25;41;00:27.73;05.28;102;
F3BSpeed;00:27.16;79.51;00:00.00;00:02.08;02.08;258;04.16;43;00:10.58;08.50;63;05.25;92;00:20.01;09.42;57;02.70;42;00:27.16;07.15;75;
F3BSpeed;00:21.93;98.48;00:00.00;00:01.83;01.83;294;08.51;184;00:14.00;12.17;44;00.00;0;00:16.84;02.83;190;01.92;101;00:21.93;05.09;106;
F3BSpeed;00:20.51;105.31;00:00.00;00:06.58;06.58;82;02.94;67;00:12.31;05.73;94;01.33;34;00:16.91;04.59;117;01.48;48;00:20.51;03.59;150;
F3BSpeed;00:19.56;110.43;00:00.00;00:05.32;05.32;101;00.00;0;00:09.92;04.60;117;00.00;0;00:14.50;04.58;117;00.00;0;00:19.56;05.05;106;
F3BSpeed;00:24.98;86.45;00:00.00;00:04.88;04.88;110;01.13;34;00:11.93;07.05;76;01.14;24;00:19.58;07.64;70;01.10;21;00:24.98;05.40;99;
